time a_x a_y a_z m_x m_y m_z baro
3090 2.5087829 -0.2674937 -9.8975680 -27.6282350 -9.1564940 17.2875980 967.1664286
3120 2.4067700 -0.2829117 -9.8674805 -27.5813295 -9.2564925 16.8648300 967.1485714
3150 2.3047570 -0.2983296 -9.8373930 -27.5344240 -9.3564910 16.4420620 967.1307143
3180 2.3837929 -0.3297642 -9.9490600 -27.3467710 -9.1564940 17.0996860 967.1128571
3210 2.3995101 -0.3661386 -9.7390480 -27.2529600 -9.1564940 16.9118040 967.0950000
3240 2.2695804 -0.3561095 -9.8950230 -27.4405980 -9.4564970 16.7239070 967.0771429
3270 2.3748116 -0.4408333 -9.7650940 -27.7220610 -9.0565030 16.6299600 967.0592857
3300 2.4200175 -0.3802094 -9.6574670 -27.5344240 -9.3564910 16.9118040 967.0414286
3330 2.4260799 -0.3882177 -9.7871725 -27.5344240 -9.2564925 17.0057450 967.0235714
3360 2.4321423 -0.3962260 -9.9168780 -27.5344240 -9.1564940 17.0996860 967.0057143
3390 2.4933650 -0.2520758 -9.7794640 -27.3467710 -9.6564940 16.9118040 966.9878571
3420 2.4043002 -0.2070195 -9.9155300 -27.9096980 -8.9564970 16.6299600 966.9700000
3450 2.4086410 -0.4713698 -9.8017670 -27.8158720 -9.2565000 16.8178560 966.9950000
3480 2.4228616 -0.4531077 -9.7141990 -27.4405980 -9.3564910 17.0996860 967.0200000
3510 2.5250990 -0.4540059 -10.0095350 -27.5344240 -8.8564910 17.0057530 967.0450000
3540 2.4855064 -0.4095484 -9.9641045 -27.7220610 -8.9564970 16.8178565 967.0700000
3570 2.4459138 -0.3650908 -9.9186740 -27.9096980 -9.0565030 16.6299600 967.0950000
3600 2.5420140 -0.3068619 -9.8821500 -27.5344240 -9.1564940 16.6299600 967.1200000
3630 2.5433610 -0.2627037 -9.8559540 -27.6282350 -9.0565030 16.8178560 967.1257143
3660 2.5954528 -0.2228865 -9.6586650 -27.4405980 -9.3564910 16.6299600 967.1314286
3690 2.4670198 -0.2918930 -9.9337920 -27.5344240 -9.3564910 16.4420620 967.1371429
3720 2.5399182 -0.3402425 -9.5974420 -27.8158720 -8.9564970 17.1936500 967.1428571
3750 2.6157356 -0.3823050 -9.6532760 -27.7689665 -8.9564970 17.0997015 967.1485714
3780 2.6915529 -0.4243675 -9.7091100 -27.7220610 -8.9564970 17.0057530 967.1542857
3810 2.5697062 -0.2778223 -10.0511480 -27.6282350 -9.3564910 17.0996860 967.1600000
3840 2.5572822 -0.3152444 -9.7896420 -27.9096980 -8.7565000 16.8178560 967.1628571
3870 2.5704546 -0.2438429 -9.8204780 -27.8158720 -8.7565000 16.6299600 967.1657143
3900 2.4872277 -0.1380130 -9.8582000 -27.7220610 -8.9564970 16.6299600 967.1685714
3930 2.5047413 -0.2944377 -9.8034885 -27.7220610 -9.0065000 16.6299600 967.1714286
3960 2.5222550 -0.4508624 -9.7487770 -27.7220610 -9.0565030 16.6299600 967.1742857
3990 2.5253985 -0.3814069 -9.9355890 -27.9096980 -8.7565000 16.8178560 967.1771429
4020 2.4613316 -0.3623964 -10.0292940 -27.5344240 -9.0565030 16.6299600 967.1800000
4050 2.5280929 -0.3872447 -9.8791560 -27.8158720 -9.0565030 16.8178560 967.1542857
4080 2.4673193 -0.1929488 -9.8555050 -27.8158720 -8.7565000 17.0057530 967.1285714
4110 2.4748037 -0.3043172 -9.8038630 -27.8158720 -8.7565000 16.6299600 967.1028571
4140 2.4575894 -0.2872527 -9.8652350 -27.5344240 -9.0565030 16.6299600 967.0771429
4170 2.5022715 -0.3614234 -9.7417420 -27.6282425 -8.9065015 16.7239080 967.0514286
